title,summary,url
量化,"
量化在数字信号处理领域，是指将信号的连续取值（或者大量可能的离散取值）近似为有限多个（或较少的）离散值的过程。量化主要应用于从连续信号到数字信号的转换中。连续信号经过采样成为离散信号，离散信号经过量化即成为数字信号。注意离散信号通常情况下并不需要经过量化的过程，但可能在值域上并不离散，还是需要经过量化的过程 。信号的采样和量化通常都是由ADC实现的。
",https://baike.baidu.com/item/%E9%87%8F%E5%8C%96
连续信号,"
自变量的在整个连续时间范围内都有定义的信号是时间连续信号或连续时间信号(continuous time signal)，简称连续信号。这里的“连续“是 指函数的定义域——时间（或者是其他量）是连续的，至于信号的值域可以是连续的，也可以不是。
",https://baike.baidu.com/item/%E8%BF%9E%E7%BB%AD%E4%BF%A1%E5%8F%B7/6597074
离散信号,"
离散信号
[1] 
是在连续信号上采样得到的信号。离散信号是一个序列，即其自变量是“离散”的。这个序列的每一个值都可以被看作是连续信号的一个采样。
",https://baike.baidu.com/item/%E7%A6%BB%E6%95%A3%E4%BF%A1%E5%8F%B7/6613954
输入电压范围,"
UPS的输入电压范围，即UPS允许市电电压的变化范围，也就是保证UPS不转入电池逆变供电的市电电压范围。范围越大说明UPS适应性越好。一般UPS的输入电压范围应该在160V~270V之间或者更宽。
",https://baike.baidu.com/item/%E8%BE%93%E5%85%A5%E7%94%B5%E5%8E%8B%E8%8C%83%E5%9B%B4
数字信号,"
数字信号指自变量是离散的、因变量也是离散的信号，这种信号的自变量用整数表示，因变量用有限数字中的一个数字来表示。在计算机中，数字信号的大小常用有限位的二进制数表示。
",https://baike.baidu.com/item/%E6%95%B0%E5%AD%97%E4%BF%A1%E5%8F%B7/915663
DVD,"
(Digital Video Disc)的缩写，又被称为高密度数字视频光盘。它是比VCD更新一代的产品。DVD分别采用MPEG—2技术和AC—3标准对视频和音频信号进行压缩编码。它可以记录135分钟的图像画面。与VCD不同的是它的图像清晰度可达720线。
[1] 

",https://baike.baidu.com/item/DVD/186164
量化噪声,"
由增量调制原理可知，译码器恢复的信号是阶梯形电压经过低通滤波器平滑后的解调电压。它与编码器输入模拟信号的波形近似，但是存在失真，将这种失真称为量化噪声。
",https://baike.baidu.com/item/%E9%87%8F%E5%8C%96%E5%99%AA%E5%A3%B0
量化,"
量化在数字信号处理领域，是指将信号的连续取值（或者大量可能的离散取值）近似为有限多个（或较少的）离散值的过程。量化主要应用于从连续信号到数字信号的转换中。连续信号经过采样成为离散信号，离散信号经过量化即成为数字信号。注意离散信号通常情况下并不需要经过量化的过程，但可能在值域上并不离散，还是需要经过量化的过程 。信号的采样和量化通常都是由ADC实现的。
",https://baike.baidu.com/item/%E9%87%8F%E5%8C%96/8959421
刻录盘,"
刻录盘就是通过刻录机把数据刻录在光盘上的一种数据载体，可以存放的数据可以是声音，视频，程序等等。可分为一次刻录盘、可擦写刻录盘。
",https://baike.baidu.com/item/%E5%88%BB%E5%BD%95%E7%9B%98
DVD+RW,"
在DVD规格得到统一之后，DVD论坛并没有统一DVD刻录的标准，毕竟这不是一个强制性组织。飞利浦与索尼公司在1996年DVD刚一正式推出时，就迫不及待的研制可录式DVD，虽然在1997年DVD论坛由会员投票通过了当时旨在数据存储的DVD-RAM规范，但不服输的索尼与飞利浦仍要坚持自己的信念独立开发自己的DVD刻录规范，从而与惠普共同创建了DVD+RW Alliance，它就是DVD+RW与DVD+R的规范制定者。
",https://baike.baidu.com/item/DVD%2BRW
